"Corruption_Perception_Index" "Mining_Investment" "Past_Conflicts" "Fines_Count" "Tax" "Conflicts" "Rainfall" "Elections"
"163" 3.6 1.12 0 0 0.00043897 0 -1 0
"164" 3.7 2.27 0 0 0.00056576 0 0 1
"165" 3.5 4.42 0 0 0.0012012136 0 1 1
"166" 3.4 16.97 0 0 0.00674996 0 0 0
"167" 3.8 16.53 0 0 0.01587962 0 1 0
"168" 3.8 1.39 0 0 0.00789064 0 0 0
"169" 3.8 10.83 0 0 0.00099563 0 0 1
"170" 3.6 7.62 0 0 0.00582874 0 1 1
"171" 3.3 62.03 0 0 3.622329401 5 -1 0
"172" 3.5 88.41 5 0 2.114351933 6 -1 0
"173" 3.6 74.46 6 0 3.855639765 5 0 0
"174" 3.7 127.61 5 2 2.454900113 4 -1 1
"175" 3.5 239.58 4 0 3.925074548 2 1 1
"176" 3.4 309.08 2 0 3.08906493 3 1 0
"177" 3.8 386.43 3 0 2.82445102 1 0 0
"178" 3.8 378.97 1 1 2.4940191 0 0 0
"179" 3.8 358.1 0 1 2.33544864 0 0 1
"180" 3.6 364.22 0 1 1.89095284 2 1 1
"181" 3.3 1.37 0 2 3.299615436 1 -1 0
"182" 3.5 46.58 1 2 3.771994077 2 0 0
"183" 3.6 192.91 2 2 1.125815039 1 0 0
"184" 3.7 281.27 1 2 1.472267584 2 -1 1
"185" 3.5 277.21 2 9 1.817048596 1 -1 1
"186" 3.4 337.63 1 19 1.87066486 0 -1 0
"187" 3.8 539.94 0 17 0.85631266 1 -1 0
"188" 3.8 322.11 1 2 0.64108016 0 -1 0
"189" 3.8 178.95 0 4 0.45275011 0 -1 1
"190" 3.6 143.56 0 6 0.12959532 0 1 1
"191" 3.3 0.13 0 1 3.73335e-05 1 -1 0
"192" 3.5 1.5 1 0 9.60556e-05 6 -1 0
"193" 3.6 263.01 6 0 0.0003378226 6 -1 0
"194" 3.7 225.88 6 0 0.0001984996 3 -1 1
"195" 3.5 167.16 3 0 0.0012802652 8 0 1
"196" 3.4 71.17 8 0 0.00173122 1 0 0
"197" 3.8 49.37 1 0 0.05779371 3 -1 0
"198" 3.8 41.43 3 0 0.04140436 1 -1 0
"199" 3.8 38.75 1 0 0.178817225 2 -1 1
"200" 3.6 30.32 2 0 0.31623009 1 1 1
"201" 3.3 1.1 0 0 0.9973006232 4 -1 0
"202" 3.5 9.48 4 0 1.725022216 2 -1 0
"203" 3.6 29.84 2 0 2.476560413 7 0 0
"204" 3.7 49.85 7 0 1.815838703 12 -1 1
"205" 3.5 103.75 12 0 3.071699846 16 0 1
"206" 3.4 149.2 16 0 2.92522965 5 1 0
"207" 3.8 101.98 5 0 2.07791567 9 0 0
"208" 3.8 75.56 9 3 1.75715492 2 1 0
"209" 3.8 93.12 2 2 1.36941188 3 1 1
"210" 3.6 114.91 3 1 0.87174903 7 1 1
"211" 3.3 0.19 0 0 0.0013084399 0 -1 0
"212" 3.5 0.01 0 0 0.004782115 2 -1 0
"213" 3.6 0.01 2 0 0.0051191026 3 0 0
"214" 3.7 0.06 3 0 0.0043606248 0 -1 1
"215" 3.5 0.21 0 0 0.0062221017 0 0 1
"216" 3.4 0.49 0 0 0.00912686 0 0 0
"217" 3.8 0.21 0 0 0.00527517 0 -1 0
"218" 3.8 0.07 0 0 0.00852851 0 -1 0
"219" 3.8 0.04 0 0 0.0080684 0 -1 1
"220" 3.6 0.04 0 0 0.00943408 0 1 1
"221" 3.3 65.14 0 0 6.098745758 8 0 0
"222" 3.5 85.54 8 0 7.115964082 10 -1 0
"223" 3.6 116.16 10 1 3.072459809 8 -1 0
"224" 3.7 88.21 8 0 1.992066129 10 -1 1
"225" 3.5 152.45 10 0 3.501016078 14 0 1
"226" 3.4 209.63 14 0 3.19720048 5 1 0
"227" 3.8 206.72 5 0 2.39448514 5 0 0
"228" 3.8 173.74 5 0 2.26801556 0 0 0
"229" 3.8 153.35 0 0 2.05679753 0 0 1
"230" 3.6 382.65 0 0 1.77659544 0 1 1
"231" 3.3 0 0 0 0 0 -1 0
"232" 3.5 0 0 0 0 0 -1 0
"233" 3.6 0 0 0 0 0 -1 0
"234" 3.7 0 0 0 0 0 -1 1
"235" 3.5 0 0 0 0 0 0 1
"236" 3.4 0 0 0 0 0 0 0
"237" 3.8 0 0 0 0 0 -1 0
"238" 3.8 0 0 0 0 0 -1 0
"239" 3.8 0 0 0 0 0 -1 1
"240" 3.6 0.29 0 0 0 0 1 1
"241" 3.3 0 0 0 0 0 -1 0
"242" 3.5 0 0 0 0 0 0 0
"243" 3.6 0 0 0 0 0 0 0
"244" 3.7 0 0 0 0 0 -1 1
"245" 3.5 0 0 0 0 0 -1 1
"246" 3.4 0 0 0 0 0 -1 0
"247" 3.8 0 0 0 0 0 -1 0
"248" 3.8 0 0 0 0 0 -1 0
"249" 3.8 0 0 0 0 0 -1 1
"250" 3.6 0 0 0 0 0 1 1
